# simulation_num, region_value, pkeep, region_weights[region_value], value_clr, value_plr, value_paoi, value_aoi, value_pdr
1007.000000,25.000000,0.000000,0.169849,0.004798,0.000557,0.101024,0.061271,0.989400
1007.000000,75.000000,0.000000,0.158408,0.029477,0.007891,0.104593,0.077717,0.957282
1007.000000,125.000000,0.000000,0.152123,0.078184,0.048497,0.115962,0.118604,0.868104
1007.000000,175.000000,0.000000,0.140843,0.122634,0.128839,0.134281,0.190477,0.743426
1007.000000,225.000000,0.000000,0.114979,0.149480,0.272228,0.159865,0.295675,0.573259
1007.000000,275.000000,0.000000,0.094513,0.137173,0.448277,0.182397,0.390965,0.410542
1007.000000,325.000000,0.000000,0.065506,0.117679,0.599732,0.207661,0.490503,0.279696
1007.000000,375.000000,0.000000,0.045927,0.094861,0.710870,0.229511,0.559990,0.192542
1007.000000,425.000000,0.000000,0.024978,0.064200,0.821254,0.250043,0.643826,0.113251
1007.000000,475.000000,0.000000,0.015470,0.042758,0.889852,0.268937,0.681369,0.066725
1007.000000,525.000000,0.000000,0.008460,0.027175,0.933644,0.296786,0.760912,0.038764
1007.000000,575.000000,0.000000,0.004190,0.015796,0.962220,0.333279,0.834752,0.021809
1007.000000,625.000000,0.000000,0.002578,0.009094,0.978168,0.373350,0.844354,0.012645
1007.000000,675.000000,0.000000,0.001289,0.005017,0.987601,0.431540,0.895838,0.007264
1007.000000,725.000000,0.000000,0.000403,0.001783,0.995559,0.495892,0.807321,0.002627
1007.000000,775.000000,0.000000,0.000483,0.001753,0.995236,0.570645,0.989826,0.002980
1007.000000,825.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1007.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
