# simulation_num, region_value, pkeep, region_weights[region_value], value_clr, value_plr, value_paoi, value_aoi, value_pdr
1009.000000,25.000000,0.000000,0.167426,0.003317,0.000096,0.100705,0.084855,0.992485
1009.000000,75.000000,0.000000,0.160269,0.024652,0.007935,0.105369,0.146414,0.961586
1009.000000,125.000000,0.000000,0.149592,0.083994,0.049700,0.133485,0.313578,0.862726
1009.000000,175.000000,0.000000,0.135956,0.139278,0.130687,0.176406,0.754940,0.723296
1009.000000,225.000000,0.000000,0.123201,0.162032,0.281977,0.234547,1.352784,0.551884
1009.000000,275.000000,0.000000,0.099248,0.165728,0.429209,0.299969,2.025612,0.401043
1009.000000,325.000000,0.000000,0.065739,0.137836,0.578715,0.359264,2.803396,0.280166
1009.000000,375.000000,0.000000,0.038828,0.112380,0.722799,0.392085,2.949583,0.162983
1009.000000,425.000000,0.000000,0.026791,0.077313,0.805510,0.402653,2.426529,0.114520
1009.000000,475.000000,0.000000,0.015035,0.047243,0.883646,0.536743,2.064327,0.068382
1009.000000,525.000000,0.000000,0.009277,0.028841,0.935555,0.574020,3.278665,0.035248
1009.000000,575.000000,0.000000,0.004718,0.017637,0.962030,0.643818,2.552091,0.019857
1009.000000,625.000000,0.000000,0.002079,0.009872,0.980355,0.621722,2.306808,0.009773
1009.000000,675.000000,0.000000,0.001120,0.006591,0.988459,1.004238,3.766086,0.004950
1009.000000,725.000000,0.000000,0.000440,0.002474,0.994484,0.787534,1.875666,0.003042
1009.000000,775.000000,0.000000,0.000200,0.001351,0.997480,0.522847,0.531025,0.001169
1009.000000,825.000000,0.000000,0.000080,0.000538,0.998758,1.025694,3.244520,0.000705
1009.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
