# simulation_num, region_value, pkeep, region_weights[region_value], value_clr, value_plr, value_paoi, value_aoi, value_pdr
1008.000000,25.000000,0.000000,0.167694,0.003742,0.001328,0.100922,0.066240,0.989701
1008.000000,75.000000,0.000000,0.166626,0.026056,0.009201,0.104237,0.085244,0.959236
1008.000000,125.000000,0.000000,0.157419,0.071254,0.045844,0.114936,0.135340,0.877177
1008.000000,175.000000,0.000000,0.133991,0.116703,0.137448,0.134333,0.234144,0.740137
1008.000000,225.000000,0.000000,0.121578,0.136990,0.273030,0.155725,0.339010,0.585337
1008.000000,275.000000,0.000000,0.084834,0.135747,0.441805,0.180648,0.479310,0.418788
1008.000000,325.000000,0.000000,0.065023,0.119834,0.592258,0.207989,0.639087,0.284985
1008.000000,375.000000,0.000000,0.041184,0.093775,0.713022,0.230105,0.749455,0.190984
1008.000000,425.000000,0.000000,0.024990,0.066020,0.823080,0.255236,0.906261,0.109653
1008.000000,475.000000,0.000000,0.015208,0.042256,0.890023,0.270659,0.947512,0.066865
1008.000000,525.000000,0.000000,0.010358,0.029681,0.926758,0.301060,1.044294,0.043067
1008.000000,575.000000,0.000000,0.005672,0.015895,0.960828,0.326588,1.051218,0.022990
1008.000000,625.000000,0.000000,0.002548,0.008123,0.980422,0.386047,1.174998,0.011354
1008.000000,675.000000,0.000000,0.001644,0.005168,0.987041,0.422068,1.115166,0.007612
1008.000000,725.000000,0.000000,0.000740,0.002576,0.993286,0.494743,1.170964,0.004130
1008.000000,775.000000,0.000000,0.000493,0.001967,0.994479,0.545338,1.007553,0.003473
1008.000000,825.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1008.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
