# simulation_num, region_value, pkeep, region_weights[region_value], value_clr, value_plr, value_paoi, value_aoi, value_pdr
1006.000000,25.000000,0.000000,0.179887,0.004219,0.001286,0.101002,0.058636,0.988984
1006.000000,75.000000,0.000000,0.172863,0.026232,0.008449,0.104169,0.069875,0.960154
1006.000000,125.000000,0.000000,0.148535,0.068994,0.045825,0.114421,0.104227,0.879692
1006.000000,175.000000,0.000000,0.136457,0.113906,0.135625,0.133003,0.161064,0.745378
1006.000000,225.000000,0.000000,0.110245,0.141173,0.278475,0.157797,0.243307,0.575944
1006.000000,275.000000,0.000000,0.087288,0.134010,0.448186,0.180484,0.317259,0.414641
1006.000000,325.000000,0.000000,0.066216,0.117153,0.594669,0.206055,0.403484,0.285110
1006.000000,375.000000,0.000000,0.040175,0.086918,0.734694,0.228746,0.474620,0.176499
1006.000000,425.000000,0.000000,0.028097,0.064414,0.819921,0.247560,0.535889,0.114052
1006.000000,475.000000,0.000000,0.011393,0.032191,0.916624,0.268351,0.576085,0.050533
1006.000000,525.000000,0.000000,0.007881,0.024085,0.940651,0.292037,0.611618,0.034865
1006.000000,575.000000,0.000000,0.005225,0.015218,0.962856,0.326749,0.637472,0.021727
1006.000000,625.000000,0.000000,0.002484,0.006802,0.982869,0.360973,0.669326,0.010166
1006.000000,675.000000,0.000000,0.001799,0.004733,0.989033,0.454932,0.804930,0.006144
1006.000000,725.000000,0.000000,0.001456,0.003509,0.991109,0.506453,0.881687,0.005292
1006.000000,775.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1006.000000,825.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1006.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
